DATE,TIME,SITE,DATA ID,Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (¡F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidty (FNU),TSS (mg/L)
9/14/17,10:43:27 AM,<None>,,744.2,7.08,-11.1,165,15.5,19.2,0.01,19.5,12,58.9,-0.9,-0.9,95.8,9.66,97.8,0.13,0
9/14/17,10:43:57 AM,<None>,,744.2,6.69,11.5,173.6,15.1,18.7,0.01,19,12,58.8,-0.9,-0.9,97.6,9.87,99.6,0.3,0
9/14/17,10:44:27 AM,<None>,,744.2,6.56,19.1,178,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.4,0.27,0
9/14/17,10:44:57 AM,<None>,,744.2,6.49,23.3,180.6,14.7,18.3,0.01,18.6,12,58.5,-0.8,-0.8,97.2,9.86,99.3,0.26,0
9/14/17,10:45:27 AM,<None>,,744.3,6.44,25.8,181.8,14.7,18.3,0.01,18.6,12,58.5,-0.8,-0.8,97.3,9.87,99.3,0.3,0
9/14/17,10:45:57 AM,<None>,,744.3,6.42,27.3,182.6,14.7,18.3,0.01,18.6,12,58.5,-0.8,-0.8,97.3,9.87,99.3,0.35,0
9/14/17,10:46:27 AM,<None>,,744.2,6.4,28.3,183.5,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.3,9.87,99.4,0.3,0
9/14/17,10:46:57 AM,<None>,,744.2,6.39,29.2,183.9,14.7,18.3,0.01,18.6,12,58.5,-0.8,-0.8,97.3,9.87,99.4,0.33,0
9/14/17,10:47:27 AM,<None>,,744.3,6.38,29.7,184.1,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.87,99.4,0.36,0
9/14/17,10:47:57 AM,<None>,,744.2,6.36,30.5,183.9,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.88,99.4,0.37,0
9/14/17,10:48:27 AM,<None>,,744.2,6.36,30.6,184,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.88,99.5,0.35,0
9/14/17,10:48:57 AM,<None>,,744.2,6.36,30.8,184.1,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.87,99.4,0.44,0
9/14/17,10:49:27 AM,<None>,,744.2,6.36,31,184.5,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.88,99.5,0.4,0
9/14/17,10:49:57 AM,<None>,,744.3,6.35,31.2,184.9,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.87,99.4,0.38,0
9/14/17,10:50:27 AM,<None>,,744.2,6.35,31.4,184.6,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.88,99.5,0.42,0
9/14/17,10:50:57 AM,<None>,,744.2,6.34,31.7,184.8,14.7,18.3,0.01,18.6,12,58.5,-0.9,-0.9,97.4,9.87,99.4,0.47,0
9/14/17,10:51:27 AM,<None>,,744.2,6.34,31.8,184.8,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.4,0.42,0
9/14/17,10:51:57 AM,<None>,,744.2,6.34,31.9,185,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.4,0.46,0
9/14/17,10:52:27 AM,<None>,,744.2,6.33,32.2,185,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.4,0.43,0
9/14/17,10:52:57 AM,<None>,,744.2,6.33,32.4,185.3,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.47,0
9/14/17,10:53:27 AM,<None>,,744.2,6.33,32.5,185.2,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.49,0
9/14/17,10:53:57 AM,<None>,,744.3,6.33,32.6,185.4,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.47,0
9/14/17,10:54:27 AM,<None>,,744.2,6.33,32.6,185.5,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.53,0
9/14/17,10:54:57 AM,<None>,,744.2,6.33,32.6,185.6,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.46,0
9/14/17,10:55:27 AM,<None>,,744.2,6.33,32.7,185.9,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.51,0
9/14/17,10:55:57 AM,<None>,,744.2,6.32,32.8,186.1,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.54,0
9/14/17,10:56:27 AM,<None>,,744.2,6.32,32.9,186,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.51,0
9/14/17,10:56:57 AM,<None>,,744.2,6.32,33,185.8,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.5,0
9/14/17,10:57:27 AM,<None>,,744.2,6.32,33,185.7,14.7,18.3,0.01,18.5,12,58.6,-0.9,-0.9,97.4,9.87,99.5,0.51,0
9/14/17,10:57:57 AM,<None>,,744.2,6.32,32.9,185.5,14.7,18.3,0.01,18.6,12,58.6,-0.9,-0.9,97.5,9.87,99.5,0.52,0
9/14/17,10:58:27 AM,<None>,,744.2,6.32,33.1,185.5,14.7,18.3,0.01,18.5,12,58.6,-0.9,-0.9,97.5,9.87,99.5,0.54,0
9/14/17,10:58:57 AM,<None>,,744.2,6.32,33.1,185.8,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.5,0.48,0
9/14/17,10:59:27 AM,<None>,,744.2,6.32,33,185.8,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.5,0.54,0
9/14/17,10:59:57 AM,<None>,,744.1,6.32,33,185.7,14.7,18.3,0.01,18.6,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.54,0
9/14/17,11:00:27 AM,<None>,,744.1,6.32,33,185.8,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.46,0
9/14/17,11:00:57 AM,<None>,,744.1,6.32,33,186.1,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.57,0
9/14/17,11:01:27 AM,<None>,,744.2,6.32,33,186.1,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.51,0
9/14/17,11:01:57 AM,<None>,,744.1,6.32,33,186.1,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.52,0
9/14/17,11:02:27 AM,<None>,,744.1,6.32,33,186.1,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.56,0
9/14/17,11:02:57 AM,<None>,,744.1,6.32,33,186.2,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.56,0
9/14/17,11:03:27 AM,<None>,,744.1,6.32,32.9,186.3,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.54,0
9/14/17,11:03:57 AM,<None>,,744,6.32,32.9,186.3,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.54,0
9/14/17,11:04:27 AM,<None>,,744.1,6.32,32.8,186,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.54,0
9/14/17,11:04:57 AM,<None>,,744,6.32,32.9,185.7,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.6,9.87,99.7,0.52,0
9/14/17,11:05:27 AM,<None>,,744,6.32,32.8,185.9,14.7,18.3,0.01,18.5,12,58.7,-0.9,-0.9,97.5,9.87,99.6,0.53,0
9/14/17,11:05:57 AM,<None>,,744.1,6.33,32.7,185.6,14.7,18.3,0.01,18.5,12,58.8,-0.9,-0.9,97.5,9.86,99.6,0.5,0
9/14/17,11:06:27 AM,<None>,,744.1,6.33,32.7,186.1,14.7,18.3,0.01,18.5,12,58.8,-0.9,-0.9,97.5,9.86,99.6,0.49,0
9/14/17,11:06:57 AM,<None>,,744.1,6.33,32.7,186.1,14.7,18.3,0.01,18.5,12,58.8,-0.9,-0.9,97.5,9.86,99.6,0.5,0
9/14/17,11:07:27 AM,<None>,,744.1,6.32,32.8,185.9,14.7,18.3,0.01,18.5,12,58.8,-0.9,-0.9,97.5,9.86,99.6,0.48,0
9/14/17,11:07:57 AM,<None>,,744.1,6.33,32.8,185.9,14.7,18.3,0.01,18.5,12,58.8,-0.9,-0.9,97.5,9.86,99.6,0.54,0
